,id,track_name,n_citacoes,size_bytes,price,prime_genre
0,1085497631,謎解き,4276,16080896,0.0,Book
1,1068026210,ジェスチャー当て,296,10823680,0.0,Book
2,1092463029,お解きなさい！,216,9191424,0.0,Book
3,1024818709,HOOKED - Chat Stories,25,94545920,0.0,Book
4,1054867839,スッキリ謎解きゲーム！！,2,8943616,0.0,Book
5,876336838,喜马拉雅FM（听书社区）电台有声小说相声英语,0,130731008,0.0,Book
6,919478091,マンガ図書館Z -人気漫画が読み放題！,0,77494272,0.0,Book
7,914189520,The Complete Adventures of Pan (Books 1-7),0,2334249984,27.99,Book
8,909110675,Dr. Seuss Treasury — 50 best kids books,0,100943872,0.0,Book
9,906936224,快看漫画,0,63058944,0.0,Book
