,id,track_name,n_citacoes,size_bytes,price,prime_genre
0,510855668,Amazon Music,99678,77778944,0.0,Music
1,1085497631,謎解き,81342,16080896,0.0,Book
2,324684580,Spotify Music,54354,132510720,0.0,Music
3,669196929,djay 2,42901,119949312,4.99,Music
4,1017492454,YouTube Music,39317,114122752,0.0,Music
5,1130398188,Addictive Pro,35912,43658240,19.99,Music
6,475820434,Notion,24832,223332352,14.99,Music
7,544119998,Magellan,19108,44860416,2.99,Music
8,835217317,DatPiff,15831,88672256,0.0,Music
9,1100636064,Music and Chill,15347,28763136,0.0,Music
