,id,track_name,n_citacoes,size_bytes,price,prime_genre
0,1085497631,謎解き,59098,16080896,0.0,Book
1,669196929,djay 2,42934,119949312,4.99,Music
2,324684580,Spotify Music,41531,132510720,0.0,Music
3,1017492454,YouTube Music,41361,114122752,0.0,Music
4,1130398188,Addictive Pro,35916,43658240,19.99,Music
5,913943275,TIDAL,29674,63882240,0.0,Music
6,1100636064,Music and Chill,28662,28763136,0.0,Music
7,1011132019,NOISE,23083,99423232,0.0,Music
8,544119998,Magellan,17048,44860416,2.99,Music
9,475820434,Notion,13970,223332352,14.99,Music
