,id,track_name,n_citacoes,size_bytes,price,prime_genre
0,324684580,Spotify Music,165575,132510720,0.0,Music
1,510855668,Amazon Music,159748,77778944,0.0,Music
2,1017492454,YouTube Music,48111,114122752,0.0,Music
3,669196929,djay 2,42936,119949312,4.99,Music
4,1130398188,Addictive Pro,35914,43658240,19.99,Music
5,1100636064,Music and Chill,29178,28763136,0.0,Music
6,913943275,TIDAL,21942,63882240,0.0,Music
7,475820434,Notion,16921,223332352,14.99,Music
8,1011132019,NOISE,16003,99423232,0.0,Music
9,544119998,Magellan,15763,44860416,2.99,Music
